VIN (1-10);County;City;State;Postal Code;Model Year;Make;Model;Electric Vehicle Type;Clean Alternative Fuel Vehicle (CAFV) Eligibility;Electric Range;Base MSRP;Legislative District;DOL Vehicle ID;Vehicle Location;Electric Utility;2020 Census Tract;Descuentos;Precio Final
1G1FX6S01K;Island;Oak Harbor;WA;98277;2019;CHEVROLET;BOLT EV;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;238;59900;10;475249806;POINT (-122.6788673 48.2897314);PUGET SOUND ENERGY INC;53029971000;18018;41882
1N4AZ1CP3J;Kitsap;Poulsbo;WA;98370;2018;NISSAN;LEAF;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;151;59900;23;168437370;POINT (-122.64177 47.737525);PUGET SOUND ENERGY INC;53035940000;5685;54215
5YJYGDEEXL;Snohomish;Marysville;WA;98270;2020;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;291;69900;38;123386574;POINT (-122.17673 48.05542);PUGET SOUND ENERGY INC;53061052809;20437;49463
1N4AZ0CP9F;King;Shoreline;WA;98133;2015;NISSAN;LEAF;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;84;69900;32;263970794;POINT (-122.34584 47.76726);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033020900;24049;45851
1C4JJXP67M;Grant;Ephrata;WA;98823;2021;JEEP;WRANGLER;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;25;52900;13;166335011;POINT (-119.55513 47.31936);PUD NO 2 OF GRANT COUNTY;53025010402;18016;34884
5UXKT0C52G;Thurston;Olympia;WA;98501;2016;BMW;X5;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;14;69900;35;246050626;POINT (-122.89692 47.043535);PUGET SOUND ENERGY INC;53067011720;10295;59605
3C3CFFGEXF;Thurston;Yelm;WA;98597;2015;FIAT;500;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;87;69900;2;145792188;POINT (-122.61023 46.94126);PUGET SOUND ENERGY INC;53067012422;19996;49904
5YJSA1E22G;King;Seattle;WA;98116;2016;TESLA;MODEL S;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;210;44100;34;6813131;POINT (-122.38679 47.56484);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033009701;15370;28730
1N4AZ0CP0D;Thurston;Olympia;WA;98512;2013;NISSAN;LEAF;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;75;69900;35;253501132;POINT (-122.9131017 47.0135926);PUGET SOUND ENERGY INC;53067011810;19839;50061
5YJYGDEE1L;Kitsap;Poulsbo;WA;98370;2020;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;291;69900;23;260199180;POINT (-122.64177 47.737525);PUGET SOUND ENERGY INC;53035090201;27557;42343
YV4H60CE6R;Kitsap;Bainbridge Island;WA;98110;2024;VOLVO;XC90;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;32;36800;23;245691435;POINT (-122.5235781 47.6293323);PUGET SOUND ENERGY INC;53035090700;4325;32475
